dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Sat,2023-10-07,15:30 ,RB Leipzig,2.5,0–0,0.4,Bochum,"44,269",Red Bull Arena,Timo Gerach,Bundesliga,7,Marco Rose,RB Leipzig,4-4-2,Janis Blaswich,de GER,32-158,90,2,0,2,100.0,0.3,0,1,0.0,28,5,3.6,24.8,6,0.0,24.5,6,0,0.0,4,40.3
Sat,2023-10-07,15:30 ,RB Leipzig,2.5,0–0,0.4,Bochum,"44,269",Red Bull Arena,Timo Gerach,Bundesliga,7,Thomas Letsch,Bochum,3-5-2,Manuel Riemann,de GER,35-028,90,5,0,3,100.0,2.3,7,25,28.0,25,3,68.0,48.0,9,88.9,57.1,26,6,23.1,0,7.4
Sat,2023-10-07,15:30 ,Dortmund,1.6,4–2,1.4,Union Berlin,"81,365",Signal Iduna Park,Patrick Ittrich,Bundesliga,7,Edin Terzić,Dortmund,4-2-3-1,Gregor Kobel,ch SUI,25-305,90,5,2,3,80.0,1.5,7,14,50.0,32,2,21.9,29.3,8,87.5,55.9,16,0,0.0,0,8.8
Sat,2023-10-07,15:30 ,Dortmund,1.6,4–2,1.4,Union Berlin,"81,365",Signal Iduna Park,Patrick Ittrich,Bundesliga,7,Urs Fischer,Union Berlin,5-3-2,Frederik Rønnow,dk DEN,31-064,90,7,4,3,42.9,1.8,5,11,45.5,24,5,29.2,31.1,4,100.0,71.0,18,2,11.1,1,11.5
Sat,2023-10-07,15:30 ,Augsburg,0.9,1–2,1.8,Darmstadt 98,"29,200",WWK Arena,Deniz Aytekin,Bundesliga,7,Enrico Maaßen,Augsburg,3-4-3,Finn Dahmen,de GER,25-194,90,5,2,3,80.0,1.4,4,14,28.6,42,2,28.6,31.8,4,50.0,42.8,12,0,0.0,4,19.8
Sat,2023-10-07,15:30 ,Augsburg,0.9,1–2,1.8,Darmstadt 98,"29,200",WWK Arena,Deniz Aytekin,Bundesliga,7,Torsten Lieberknecht,Darmstadt 98,3-4-1-2,Marcel Schuhen,de GER,30-267,90,3,1,2,66.7,0.6,12,28,42.9,53,6,39.6,33.4,11,63.6,45.3,25,2,8.0,2,13.6
Sat,2023-10-07,15:30 ,Stuttgart,2.7,3–1,1.2,Wolfsburg,"52,000",MHPArena,Daniel Siebert,Bundesliga,7,Sebastian Hoeneß,Stuttgart,4-2-3-1,Alexander Nübel,de GER,27-007,90,5,1,4,80.0,1.6,6,14,42.9,37,4,32.4,32.0,5,40.0,29.6,11,2,18.2,3,18.0
Sat,2023-10-07,15:30 ,Stuttgart,2.7,3–1,1.2,Wolfsburg,"52,000",MHPArena,Daniel Siebert,Bundesliga,7,Niko Kovač,Wolfsburg,4-2-3-1,Koen Casteels,be BEL,31-104,90,8,3,5,75.0,3.2,10,20,50.0,48,6,41.7,38.4,3,0.0,25.3,9,1,11.1,0,10.0
Sat,2023-10-07,18:30 ,Werder Bremen,0.8,2–3,1.9,Hoffenheim,"41,000",Wohninvest Weserstadion,Christian Dingert,Bundesliga,7,Ole Werner,Werder Bremen,3-1-4-2,Jiří Pavlenka,cz CZE,31-176,90,4,3,1,25.0,1.5,5,15,33.3,23,5,39.1,32.8,9,66.7,54.3,11,0,0.0,0,10.5
Sat,2023-10-07,18:30 ,Werder Bremen,0.8,2–3,1.9,Hoffenheim,"41,000",Wohninvest Weserstadion,Christian Dingert,Bundesliga,7,Pellegrino Matarazzo,Hoffenheim,3-5-2,Oliver Baumann,de GER,33-127,90,3,2,1,33.3,1.2,8,30,26.7,44,7,56.8,41.7,7,71.4,54.0,16,1,6.3,1,19.5
