gameweek_x,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek_y,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
32,Sun,2023-04-30,15:00 ,Cremonese,0.7,1–1,1.1,Hellas Verona,"11,645",Stadio Giovanni Zini,Daniele Doveri,Serie-A,32,Davide Ballardini,Cremonese,4-3-1-2,Marco Carnesecchi,it ITA,22-303,90,6,1,5,83.3,1.2,7,33,21.2,37,5,62.2,46.3,10,100.0,70.2,26,2,7.7,1,16.6
32,Sun,2023-04-30,15:00 ,Cremonese,0.7,1–1,1.1,Hellas Verona,"11,645",Stadio Giovanni Zini,Daniele Doveri,Serie-A,32,Marco Zaffaroni,Hellas Verona,4-2-3-1,Lorenzo Montipò,it ITA,27-069,90,5,1,4,80.0,0.6,14,21,66.7,24,7,62.5,46.2,7,85.7,56.0,13,2,15.4,0,7.5
32,Sun,2023-04-30,15:00 ,Sassuolo,1.8,2–1,0.4,Empoli,"10,267",Mapei Stadium - Città del Tricolore,Federico Dionisi,Serie-A,32,Alessio Dionisi,Sassuolo,4-3-3,Andrea Consigli,it ITA,36-093,90,1,1,0,0.0,0.7,1,6,16.7,27,4,18.5,29.1,12,8.3,20.1,12,0,0.0,0,
32,Sun,2023-04-30,15:00 ,Sassuolo,1.8,2–1,0.4,Empoli,"10,267",Mapei Stadium - Città del Tricolore,Federico Dionisi,Serie-A,32,Paolo Zanetti,Empoli,4-3-1-2,Guglielmo Vicario,it ITA,26-205,90,4,2,2,75.0,1.7,2,14,14.3,34,4,35.3,34.1,3,66.7,45.0,15,0,0.0,0,12.0
32,Sun,2023-04-30,15:00 ,Napoli,1.6,1–1,0.3,Salernitana,"54,726",Stadio Diego Armando Maradona,Matteo Marcenaro,Serie-A,32,Luciano Spalletti,Napoli,4-3-3,Alex Meret,it ITA,26-039,90,2,1,1,50.0,0.6,0,5,0.0,19,3,21.1,30.7,4,25.0,31.5,7,0,0.0,3,20.8
32,Sun,2023-04-30,15:00 ,Napoli,1.6,1–1,0.3,Salernitana,"54,726",Stadio Diego Armando Maradona,Matteo Marcenaro,Serie-A,32,Paulo Sousa,Salernitana,3-4-3,Guillermo Ochoa,mx MEX,37-291,90,8,1,7,87.5,1.7,7,27,25.9,14,0,85.7,52.1,18,83.3,55.8,31,1,3.2,0,6.0
32,Sun,2023-04-30,18:00 ,Fiorentina,1.7,5–0,0.4,Sampdoria,"30,602",Stadio Artemio Franchi,Antonio Giua,Serie-A,32,Vincenzo Italiano,Fiorentina,4-2-3-1,Michele Cerofolini,it ITA,24-116,90,1,0,1,100.0,0.0,7,10,70.0,25,3,28.0,31.1,3,100.0,56.3,2,0,0.0,0,5.0
32,Sun,2023-04-30,18:00 ,Fiorentina,1.7,5–0,0.4,Sampdoria,"30,602",Stadio Artemio Franchi,Antonio Giua,Serie-A,32,Dejan Stanković,Sampdoria,3-4-1-2,Nicola Ravaglia,it ITA,34-139,90,10,5,5,50.0,2.8,8,22,36.4,26,5,53.8,39.8,13,61.5,38.7,19,1,5.3,0,13.3
32,Sun,2023-04-30,20:45 ,Bologna,1.9,1–1,2.7,Juventus,"30,071",Stadio Renato Dall'Ara,Simone Sozza,Serie-A,32,Thiago Motta,Bologna,4-3-3,Łukasz Skorupski,pl POL,31-360,90,5,1,3,80.0,2.1,4,8,50.0,24,5,25.0,35.8,8,25.0,29.1,12,0,0.0,1,12.6
32,Sun,2023-04-30,20:45 ,Bologna,1.9,1–1,2.7,Juventus,"30,071",Stadio Renato Dall'Ara,Simone Sozza,Serie-A,32,Massimiliano Allegri,Juventus,4-3-3,Wojciech Szczęsny,pl POL,33-012,90,6,1,5,100.0,2.0,6,11,54.5,18,6,44.4,36.5,5,60.0,39.0,12,0,0.0,0,10.0
33,Wed,2023-05-03,18:00 ,Sampdoria,0.3,0–2,2.0,Torino,"16,865",Stadio Comunale Luigi Ferraris,Giacomo Camplone,Serie-A,33,Dejan Stanković,Sampdoria,3-4-1-2,Nicola Ravaglia,it ITA,34-142,90,4,2,2,50.0,0.7,6,24,25.0,29,3,62.1,42.6,8,75.0,52.0,21,1,4.8,0,11.5
33,Wed,2023-05-03,18:00 ,Sampdoria,0.3,0–2,2.0,Torino,"16,865",Stadio Comunale Luigi Ferraris,Giacomo Camplone,Serie-A,33,Ivan Jurić,Torino,3-4-3,Vanja Milinković-Savić,rs SRB,26-072,90,0,0,0,,0.0,4,15,26.7,29,4,37.9,36.1,5,80.0,64.0,12,2,16.7,1,10.0
