gameweek_x,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek_y,manager,team,formation,name,ht_score,x,y,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
10,Sat,2020-12-05,15:30 ,Köln,1.1,2–2,1.9,Wolfsburg,,RheinEnergieSTADION,Sven Jablonski,Bundesliga,10,Oliver Glasner,Wolfsburg,4-2-3-1,Maxence Lacroix,2–1,33.33,15.0,4,FRA,CB,20.666,90,0,0,0,0,1,0,0,0,113,0,1,2,0.0,0.0,0.0,1,0,85,101,84.2,6,87,1,1,1,1792,586,19,24,79.2,55,60,91.7,11,16,68.8,0.0,0,4,1,0,100,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,1,1,1,3,0,7,49,62,3,3,113,100.0,0,0.0,384,217,0,1,0,0,85,0,0,1,1,0,0,0,0,10,1,1,50.0
10,Sat,2020-12-05,15:30 ,Köln,1.1,2–2,1.9,Wolfsburg,,RheinEnergieSTADION,Sven Jablonski,Bundesliga,10,Oliver Glasner,Wolfsburg,4-2-3-1,Ridle Baku,2–1,33.33,30.0,20,GER,RB,22.66,90,0,0,0,0,1,0,0,0,78,1,0,0,0.0,0.0,0.0,1,0,57,73,78.1,3,53,1,1,1,912,278,35,38,92.1,17,25,68.0,5,6,83.3,0.0,0,3,1,1,67,6,0,0,0,9,6,0,0,0,0,0,3,1,0,1,0,1,1,100.0,0,0,0,1,1,0,1,15,45,18,1,78,100.0,0,0.0,160,83,0,0,0,0,55,6,0,3,0,0,0,0,0,4,1,2,33.3
10,Sat,2020-12-05,15:30 ,Köln,1.1,2–2,1.9,Wolfsburg,,RheinEnergieSTADION,Sven Jablonski,Bundesliga,10,Oliver Glasner,Wolfsburg,4-2-3-1,Koen Casteels,2–1,50.0,5.0,1,BEL,GK,28.447,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,27,32,84.4,0,24,0,0,0,659,469,5,5,100.0,16,16,100.0,6,11,54.5,0.0,0,0,0,0,27,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,25,33,0,0,0,33,,0,,92,33,0,0,0,0,19,0,0,0,0,0,0,0,0,1,1,0,100.0
10,Sat,2020-12-05,15:30 ,Arminia,1.2,2–1,2.8,Mainz 05,,SchücoArena,Marco Fritz,Bundesliga,10,Uwe Neuhaus,Arminia,4-4-2,Fabian Klos,2–0,50.0,45.0,9,GER,FW,33.008,85,0,0,0,0,1,0,0,0,28,0,1,0,0.2,0.2,0.3,2,0,10,20,50.0,2,18,1,0,0,137,54,6,10,60.0,4,8,50.0,0,0,,0.1,1,2,1,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,1,0,0,1,0,0,0,2,21,6,2,28,,0,,69,36,1,0,3,0,25,4,0,3,3,0,0,0,0,4,7,3,70.0
10,Sat,2020-12-05,15:30 ,Arminia,1.2,2–1,2.8,Mainz 05,,SchücoArena,Marco Fritz,Bundesliga,10,Uwe Neuhaus,Arminia,4-4-2,   Fabian Kunze,2–0,9999.0,9999.0,16,GER,FW,22.477,5,0,0,0,0,0,0,1,0,6,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,1,0,0,3,0,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5,0,1,0,6,,0,,24,19,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,
10,Sat,2020-12-05,15:30 ,Arminia,1.2,2–1,2.8,Mainz 05,,SchücoArena,Marco Fritz,Bundesliga,10,Uwe Neuhaus,Arminia,4-4-2,Sven Schipplock,2–0,75.0,45.0,36,GER,FW,32.074,78,0,0,0,0,1,0,1,0,32,1,1,2,0.4,0.4,0.0,4,1,13,20,65.0,3,13,3,0,0,150,57,8,11,72.7,4,6,66.7,0,0,,0.0,1,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,25.0,3,0,2,2,0,0,0,3,22,8,2,32,,0,,69,52,2,0,2,0,17,2,0,3,4,0,0,0,0,5,2,2,50.0
10,Sat,2020-12-05,15:30 ,Arminia,1.2,2–1,2.8,Mainz 05,,SchücoArena,Marco Fritz,Bundesliga,10,Uwe Neuhaus,Arminia,4-4-2,   Sergio Córdova,2–0,9999.0,9999.0,18,VEN,FW,23.323,12,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.1,1,0,1,2,50.0,0,3,0,0,0,45,41,0,0,,0,0,,1,1,100.0,0.0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,1,2,1,0,4,,0,,8,3,0,0,2,0,2,1,0,1,0,0,0,0,0,1,1,1,50.0
10,Sat,2020-12-05,15:30 ,Arminia,1.2,2–1,2.8,Mainz 05,,SchücoArena,Marco Fritz,Bundesliga,10,Uwe Neuhaus,Arminia,4-4-2,Reinhold Yabo,2–0,16.67,30.0,10,GER,LM,28.819,63,0,0,0,0,2,0,0,0,25,0,0,0,0.1,0.1,0.0,0,0,13,20,65.0,1,14,2,0,0,152,37,8,10,80.0,3,7,42.9,0,0,,0.0,0,2,0,0,20,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,10,0,25,,0,,105,80,0,0,0,0,18,4,0,1,1,1,0,0,0,3,0,0,
10,Sat,2020-12-05,15:30 ,Arminia,1.2,2–1,2.8,Mainz 05,,SchücoArena,Marco Fritz,Bundesliga,10,Uwe Neuhaus,Arminia,4-4-2,   Andreas Voglsammer,2–0,9999.0,9999.0,21,GER,LM,28.907,27,0,0,0,0,1,1,0,0,16,2,0,3,0.1,0.1,0.0,0,0,6,9,66.7,2,6,0,0,0,93,39,4,4,100.0,2,3,66.7,0,2,0.0,0.1,0,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,100.0,0,0,3,2,0,0,0,6,4,6,1,16,,0,,30,12,0,0,0,0,8,1,0,0,0,0,0,0,0,1,2,1,66.7
10,Sat,2020-12-05,15:30 ,Arminia,1.2,2–1,2.8,Mainz 05,,SchücoArena,Marco Fritz,Bundesliga,10,Uwe Neuhaus,Arminia,4-4-2,Marcel Hartel,2–0,33.33,30.0,30,GER,CM,24.879,90,0,0,0,0,2,1,1,0,65,1,3,1,0.1,0.1,0.0,2,1,38,57,66.7,4,33,0,2,1,627,167,21,25,84.0,13,18,72.2,4,13,30.8,0.1,0,3,1,1,46,11,7,0,0,6,0,2,1,0,0,0,1,0,1,0,0,1,3,33.3,2,0,1,4,0,0,0,11,36,20,0,65,50.0,1,50.0,116,66,1,0,1,1,36,2,0,1,1,0,0,0,0,9,2,4,33.3
10,Sat,2020-12-05,15:30 ,Arminia,1.2,2–1,2.8,Mainz 05,,SchücoArena,Marco Fritz,Bundesliga,10,Uwe Neuhaus,Arminia,4-4-2,Manuel Prietl,2–0,66.67,15.0,19,AUT,CM,29.34,90,1,0,0,0,2,2,0,0,62,6,2,1,0.3,0.3,0.0,2,0,41,47,87.2,0,36,1,0,0,734,144,15,17,88.2,24,27,88.9,2,3,66.7,0.0,0,2,0,0,47,0,0,1,0,0,0,0,0,0,0,0,0,3,4,2,0,2,4,50.0,2,0,1,8,0,0,2,16,41,5,1,62,,0,,200,76,0,0,1,1,39,2,0,2,0,0,0,0,0,3,1,2,33.3
10,Sat,2020-12-05,15:30 ,Arminia,1.2,2–1,2.8,Mainz 05,,SchücoArena,Marco Fritz,Bundesliga,10,Uwe Neuhaus,Arminia,4-4-2,Ritsu Doan,2–0,83.33,30.0,8,JPN,RM,22.471,90,1,1,0,0,2,1,0,0,52,2,2,3,0.1,0.1,0.4,6,1,21,30,70.0,5,35,5,4,3,367,110,14,14,100.0,3,6,50.0,4,8,50.0,0.3,5,4,2,0,29,1,1,0,1,4,0,0,0,0,0,0,0,1,0,1,1,1,1,100.0,0,0,3,4,1,0,1,9,27,17,1,52,75.0,1,25.0,205,111,1,1,6,3,30,7,0,1,4,0,0,0,0,9,1,2,33.3
