gameweek_x,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek_y,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
22,Fri,2021-02-19,20:30 ,Arminia,0.6,0–3,1.5,Wolfsburg,,SchücoArena,Felix Brych,Bundesliga,22,Oliver Glasner,Wolfsburg,4-2-3-1,Koen Casteels,be BEL,28-239,90,2,0,2,100.0,0.1,6,12,50.0,37,4,27.0,29.6,6,33.3,33.8,10,0,0.0,1,14.5
22,Sat,2021-02-20,15:30 ,M'Gladbach,0.9,1–2,0.6,Mainz 05,,Stadion im Borussia-Park,Markus Schmidt,Bundesliga,22,Marco Rose,M'Gladbach,3-5-2,Yann Sommer,ch SUI,32-065,90,6,2,4,66.7,1.3,1,2,50.0,47,8,4.3,21.2,6,0.0,20.7,10,0,0.0,1,13.0
22,Sat,2021-02-20,15:30 ,M'Gladbach,0.9,1–2,0.6,Mainz 05,,Stadion im Borussia-Park,Markus Schmidt,Bundesliga,22,Bo Svensson,Mainz 05,3-4-1-2,Robin Zentner,de GER,26-115,90,4,1,3,75.0,0.7,7,23,30.4,31,8,58.1,45.5,7,71.4,51.6,15,0,0.0,0,7.7
22,Sat,2021-02-20,15:30 ,Köln,0.8,0–1,0.6,Stuttgart,,RheinEnergieSTADION,Benjamin Cortus,Bundesliga,22,Markus Gisdol,Köln,5-3-2,Timo Horn,de GER,27-284,90,3,1,2,66.7,0.4,3,10,30.0,52,5,17.3,28.8,5,20.0,25.8,10,0,0.0,0,
22,Sat,2021-02-20,15:30 ,Köln,0.8,0–1,0.6,Stuttgart,,RheinEnergieSTADION,Benjamin Cortus,Bundesliga,22,Pellegrino Matarazzo,Stuttgart,3-4-3,Gregor Kobel,ch SUI,23-076,90,0,0,0,,0.0,4,15,26.7,28,8,28.6,27.3,11,63.6,48.1,6,0,0.0,1,19.0
22,Sat,2021-02-20,15:30 ,Freiburg,0.8,0–1,1.4,Union Berlin,,Schwarzwald-Stadion,Sören Storks,Bundesliga,22,Christian Streich,Freiburg,4-2-2-2,Florian Müller,de GER,23-099,90,4,1,3,75.0,1.6,2,14,14.3,42,8,16.7,22.8,9,77.8,58.4,16,2,12.5,1,12.2
22,Sat,2021-02-20,15:30 ,Freiburg,0.8,0–1,1.4,Union Berlin,,Schwarzwald-Stadion,Sören Storks,Bundesliga,22,Urs Fischer,Union Berlin,3-5-2,Loris Karius,de GER,27-243,90,1,0,1,100.0,0.0,5,15,33.3,23,2,43.5,40.4,8,62.5,55.4,15,1,6.7,0,7.0
22,Sat,2021-02-20,15:30 ,Eint Frankfurt,1.4,2–1,2.2,Bayern Munich,,Deutsche Bank Park,Sascha Stegemann,Bundesliga,22,Adi Hütter,Eint Frankfurt,3-4-3,Kevin Trapp,de GER,30-227,90,6,1,5,83.3,1.2,16,34,47.1,32,5,68.8,45.7,18,66.7,52.3,26,0,0.0,1,10.6
22,Sat,2021-02-20,15:30 ,Eint Frankfurt,1.4,2–1,2.2,Bayern Munich,,Deutsche Bank Park,Sascha Stegemann,Bundesliga,22,Hansi Flick,Bayern Munich,4-2-3-1,Manuel Neuer,de GER,34-330,90,5,2,3,60.0,2.9,3,10,30.0,41,8,24.4,30.0,7,0.0,19.9,12,0,0.0,6,21.0
22,Sat,2021-02-20,18:30 ,Schalke 04,0.9,0–4,1.6,Dortmund,,Veltins-Arena,Daniel Siebert,Bundesliga,22,Christian Gross,Schalke 04,4-3-3,Ralf Fährmann,de GER,32-146,31,1,,1,,0.0,1,5,20.0,13,3,,37.4,1,,13.0,3,,,,3.5
