dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,ht_score,x,y,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Fri,2023-08-11,20:00 ,Burnley,0.3,0–3,1.9,Manchester City,"21,572",Turf Moor,Craig Pawson,Premier-League,1,Pep Guardiola,Manchester City,4-2-3-1,Julián Álvarez,0–2,50.0,35.0,19,ARG,"LM,AM,FW",23.526,90,0,1,0,0,3,1,0,0,53,1,0,1,0.3,0.3,0.3,6,1,36,44,81.8,2,25,2,0,0,490,113,22,25,88.0,7,9,77.8,3,5,60.0,0.4,6,0,2,0,38,6,3,2,0,5,1,2,0,2,0,0,0,1,1,0,0,0,1,0.0,1,0,1,1,0,0,0,2,22,29,4,53,,0,,104,50,2,1,2,1,40,6,0,1,1,0,0,0,0,2,1,3,25.0
Fri,2023-08-11,20:00 ,Burnley,0.3,0–3,1.9,Manchester City,"21,572",Turf Moor,Craig Pawson,Premier-League,1,Pep Guardiola,Manchester City,4-2-3-1,Rodri,0–2,66.67,25.0,16,ESP,"DM,CB",27.137,90,1,1,0,0,4,3,0,0,122,5,0,0,0.5,0.5,0.2,5,1,107,110,97.3,4,84,1,0,0,1679,463,55,55,100.0,41,42,97.6,7,8,87.5,0.2,1,14,0,0,110,0,0,1,0,0,0,0,0,0,0,0,1,3,2,2,1,2,2,100.0,0,0,0,5,0,1,3,27,84,11,4,122,,0,,327,173,1,1,1,1,97,1,0,2,0,1,0,0,0,8,1,0,100.0
Fri,2023-08-11,20:00 ,Burnley,0.3,0–3,1.9,Manchester City,"21,572",Turf Moor,Craig Pawson,Premier-League,1,Pep Guardiola,Manchester City,4-2-3-1,Kevin De Bruyne,0–2,33.33,25.0,17,BEL,DM,32.121,22,0,0,0,0,1,0,0,0,12,0,0,0,0.0,0.0,0.2,2,1,6,10,60.0,1,5,0,0,0,142,74,1,2,50.0,4,5,80.0,1,2,50.0,0.2,1,0,3,2,8,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,8,0,12,,0,,29,25,0,0,0,0,8,3,0,1,0,0,0,0,0,2,0,0,
Fri,2023-08-11,20:00 ,Burnley,0.3,0–3,1.9,Manchester City,"21,572",Turf Moor,Craig Pawson,Premier-League,1,Pep Guardiola,Manchester City,4-2-3-1,   Mateo Kovačić,0–2,9999.0,9999.0,8,CRO,CM,29.266,68,0,0,0,0,0,0,0,0,72,2,0,3,0.0,0.0,0.2,2,0,61,64,95.3,4,50,1,3,1,888,167,39,39,100.0,17,18,94.4,3,4,75.0,0.2,1,3,1,0,64,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,2,2,100.0,0,0,3,2,0,0,3,11,51,10,0,72,33.3,0,0.0,333,140,2,0,0,1,63,2,0,1,2,0,0,0,0,1,0,1,0.0
Fri,2023-08-11,20:00 ,Burnley,0.3,0–3,1.9,Manchester City,"21,572",Turf Moor,Craig Pawson,Premier-League,1,Pep Guardiola,Manchester City,4-2-3-1,Rico Lewis,0–2,83.33,15.0,82,ENG,LB,18.721,78,0,0,0,0,0,0,0,0,47,0,1,0,0.0,0.0,0.0,1,0,36,42,85.7,3,30,1,1,1,552,65,22,25,88.0,12,12,100.0,2,4,50.0,0.0,0,2,0,0,39,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,1,0,0,2,14,22,12,0,47,100.0,0,0.0,146,65,1,0,0,1,28,1,0,0,1,0,0,0,0,9,0,2,0.0
Fri,2023-08-11,20:00 ,Burnley,0.3,0–3,1.9,Manchester City,"21,572",Turf Moor,Craig Pawson,Premier-League,1,Pep Guardiola,Manchester City,4-2-3-1,   Joško Gvardiol,0–2,9999.0,9999.0,24,CRO,LB,21.548000000000002,12,0,0,0,0,0,0,0,0,13,2,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,4,0,0,0,54,16,3,3,100.0,1,2,50.0,0,1,0.0,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,2,100.0,0,0,0,2,1,0,0,3,8,2,1,13,,0,,10,5,0,0,1,0,4,1,0,0,0,0,0,0,0,2,2,0,100.0
Fri,2023-08-11,20:00 ,Burnley,0.3,0–3,1.9,Manchester City,"21,572",Turf Moor,Craig Pawson,Premier-League,1,Pep Guardiola,Manchester City,4-2-3-1,Nathan Aké,0–2,66.67,15.0,6,NED,CB,28.477,78,0,0,0,0,1,0,0,0,79,3,2,0,0.3,0.3,0.0,2,1,65,69,94.2,1,53,1,0,0,1085,222,29,30,96.7,29,31,93.5,5,6,83.3,0.0,0,3,0,0,68,1,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,3,3,100.0,0,0,0,5,1,0,2,36,39,5,2,79,,0,,233,93,0,0,0,0,61,0,0,0,1,0,0,0,0,5,3,1,75.0
Fri,2023-08-11,20:00 ,Burnley,0.3,0–3,1.9,Manchester City,"21,572",Turf Moor,Craig Pawson,Premier-League,1,Pep Guardiola,Manchester City,4-2-3-1,   Aymeric Laporte,0–2,9999.0,9999.0,14,ESP,CB,29.208,12,0,0,0,0,1,1,0,0,14,0,0,1,0.0,0.0,0.0,0,0,11,11,100.0,0,10,0,0,0,202,48,4,4,100.0,7,7,100.0,0,0,,0.0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,1,0,2,7,6,1,1,14,,0,,23,1,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,
Fri,2023-08-11,20:00 ,Burnley,0.3,0–3,1.9,Manchester City,"21,572",Turf Moor,Craig Pawson,Premier-League,1,Pep Guardiola,Manchester City,4-2-3-1,Manuel Akanji,0–2,33.33,15.0,25,SUI,"CB,RB",28.063,90,0,0,0,0,0,0,0,0,109,3,0,2,0.0,0.0,0.0,1,0,89,102,87.3,2,78,1,0,0,1375,382,41,42,97.6,41,48,85.4,3,6,50.0,0.0,0,4,0,0,100,2,2,0,0,1,0,0,0,0,0,0,0,1,1,2,0,2,4,50.0,2,1,1,3,2,0,10,57,49,3,0,109,,0,,488,250,0,0,0,0,90,1,0,0,0,0,0,0,0,2,4,1,80.0
Fri,2023-08-11,20:00 ,Burnley,0.3,0–3,1.9,Manchester City,"21,572",Turf Moor,Craig Pawson,Premier-League,1,Pep Guardiola,Manchester City,4-2-3-1,Kyle Walker,0–2,16.67,15.0,2,ENG,RB,33.205,89,0,0,0,0,0,0,0,0,81,0,0,0,0.0,0.0,0.0,2,1,66,72,91.7,2,48,1,3,0,1198,179,22,23,95.7,36,37,97.3,6,9,66.7,0.0,1,3,0,0,64,8,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,1,0,3,22,42,17,1,81,0.0,1,33.3,218,71,0,1,1,0,55,3,0,1,2,0,0,0,0,9,1,0,100.0
